City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Porto Santo,PT,33.072,-16.3415,67.3,63,40,20.71,scattered clouds
166,Alibag,IN,18.6411,72.8792,86.07,77,57,2.84,broken clouds
167,Ostersund,SE,63.1792,14.6357,50.45,53,20,11.5,few clouds
168,Virginia Beach,US,36.8529,-75.978,88.18,29,90,10.36,overcast clouds
169,Georgetown,MY,5.4112,100.3354,82.33,85,20,3.44,few clouds
170,Port Hardy,CA,50.6996,-127.4199,59.18,67,75,9.22,broken clouds
171,Myre,NO,69.1036,15.9492,41.02,71,90,29.26,overcast clouds
172,Ahipara,NZ,-35.1667,173.1667,57.85,72,100,15.66,overcast clouds
173,Bay Roberts,CA,47.5999,-53.2648,67.75,57,100,19.98,overcast clouds
174,Castro,BR,-24.7911,-50.0119,68.4,81,6,9.48,clear sky
175,Songjianghe,CN,42.1859,127.479,52.11,91,1,6.35,clear sky
176,Mangrol,IN,21.1167,70.1167,84.29,72,63,13.71,broken clouds
177,Darhan,MN,49.4867,105.9228,38.01,46,84,7.07,broken clouds
178,Klaksvik,FO,62.2266,-6.589,45.52,72,23,9.44,few clouds
179,Itarema,BR,-2.9248,-39.9167,82.06,72,96,14.47,overcast clouds
180,Inta,RU,66.0317,60.1659,61.32,60,100,16.08,overcast clouds
181,Le Mans,FR,48.0,0.2,57.09,82,75,3.44,broken clouds
182,Matagami,CA,49.7502,-77.6328,53.71,85,90,7.85,overcast clouds
183,Codrington,AU,-38.2667,141.9667,49.57,57,63,8.37,broken clouds
184,Iskateley,RU,67.6803,53.1512,51.6,61,8,11.61,clear sky
185,Caceres,ES,39.522,-6.3748,61.81,42,100,10.42,overcast clouds
186,Santander,ES,43.4647,-3.8044,58.82,63,20,5.01,few clouds
187,Rio Gallegos,AR,-51.6226,-69.2181,42.85,93,75,4.61,broken clouds
188,Honningsvag,NO,70.9821,25.9704,34.72,56,99,20.83,overcast clouds
189,Naberera,TZ,-4.2,36.9333,58.32,94,18,8.21,few clouds
190,Thompson,CA,55.7435,-97.8558,50.16,29,20,5.75,few clouds
191,Salvador,SV,13.8333,-88.9167,86.04,45,78,1.54,broken clouds
192,Longyearbyen,SJ,78.2186,15.6401,26.44,54,75,6.91,broken clouds
193,Belyy Yar,RU,53.6039,91.3903,42.69,83,0,10.02,clear sky
194,Taltal,CL,-25.4,-70.4833,67.6,58,12,3.53,few clouds
195,San Patricio,US,28.017,-97.5169,85.05,68,100,13.31,overcast clouds
196,Skelleftea,SE,64.7507,20.9528,37.99,69,90,1.01,light rain
197,Ambon,ID,-3.6954,128.1814,77.14,85,40,9.37,scattered clouds
198,Yaan,NG,7.3833,8.5667,79.54,75,84,11.07,broken clouds
199,Anchorage,US,61.2181,-149.9003,52.21,65,75,1.99,broken clouds
200,Gao,ML,16.6362,1.637,100.26,18,87,7.09,overcast clouds
201,Sungaipenuh,ID,-2.0833,101.3833,65.59,94,99,0.78,overcast clouds
202,Atambua,ID,-9.1061,124.8925,70.2,84,71,4.43,broken clouds
203,Distraccion,CO,10.8969,-72.8861,94.84,45,100,6.29,overcast clouds
204,Vitoria Da Conquista,BR,-14.8661,-40.8394,80.85,39,100,6.51,overcast clouds
205,Tuatapere,NZ,-46.1333,167.6833,41.38,90,2,4.36,clear sky
206,Colares,PT,38.7992,-9.4469,64.45,63,20,5.99,few clouds
207,Mount Gambier,AU,-37.8333,140.7667,48.11,71,100,10.36,overcast clouds
208,Nanortalik,GL,60.1432,-45.2371,36.63,77,16,7.74,few clouds
209,Durango,MX,24.8333,-104.8333,84.92,14,88,10.54,overcast clouds
210,Charters Towers,AU,-20.1,146.2667,60.15,85,0,7.67,clear sky
211,Kruisfontein,ZA,-34.0033,24.7314,53.89,67,70,4.34,broken clouds
212,Muisne,EC,0.6,-80.0333,84.31,83,92,10.92,overcast clouds
213,Plover,US,44.4564,-89.544,81.84,61,40,11.5,scattered clouds
214,Ormara,PK,25.2088,64.6357,83.91,80,0,14.38,clear sky
215,Chernyshevskiy,RU,63.0128,112.4714,35.37,77,49,2.04,scattered clouds
216,Nouakchott,MR,18.0858,-15.9785,69.73,87,0,13.35,clear sky
217,Acapulco,MX,16.8634,-99.8901,87.62,46,1,11.25,clear sky
218,Alta Floresta,BR,-9.8756,-56.0861,91.22,62,40,8.05,scattered clouds
219,Saint-Pierre,RE,-21.3393,55.4781,73.08,69,90,11.5,overcast clouds
220,Ushibuka,JP,32.1906,130.0228,64.2,78,0,5.12,clear sky
221,Dikson,RU,73.5069,80.5464,32.86,98,100,15.5,overcast clouds
222,Shambu,ET,9.5667,37.1,57.38,72,12,0.94,few clouds
223,Talnakh,RU,69.4865,88.3972,34.93,93,99,9.89,overcast clouds
224,Xining,CN,36.6167,101.7667,39.16,89,100,1.81,overcast clouds
225,Barentu,ER,15.1139,37.5928,90.95,15,71,7.61,broken clouds
226,Adre,TD,13.4667,22.2,90.27,10,0,14.79,clear sky
227,Acarau,BR,-2.8856,-40.12,82.71,72,94,14.97,overcast clouds
228,Centralia,US,46.7162,-122.9543,53.06,87,90,0.0,overcast clouds
229,Khatanga,RU,71.9667,102.5,24.98,99,100,2.42,overcast clouds
230,Dawei,MM,14.0833,98.2,77.79,92,100,7.45,overcast clouds
231,Marakkanam,IN,12.2,79.95,82.89,70,100,16.33,overcast clouds
232,Mitsamiouli,KM,-11.3847,43.2844,78.89,66,49,10.07,scattered clouds
233,Marzuq,YE,14.4,46.4667,81.09,44,72,7.0,broken clouds
234,Boulder,US,40.0833,-105.3505,68.14,68,90,1.99,overcast clouds
235,Klyuchi,RU,52.2667,79.1667,64.54,59,39,8.39,scattered clouds
236,Puerto Madero,MX,14.7208,-92.4215,82.6,100,75,9.22,broken clouds
237,Uvat,RU,59.1433,68.8953,63.73,60,100,6.62,overcast clouds
238,Ponta Delgada,PT,37.7333,-25.6667,63.32,51,20,13.8,few clouds
239,Qui Nhon,VN,13.7667,109.2333,79.3,85,100,5.12,overcast clouds
240,Kladno,CZ,50.1473,14.1029,59.61,65,0,7.4,clear sky
241,Saint-Louis,SN,16.3333,-15.0,96.44,15,0,17.36,clear sky
242,Ushtobe,KZ,45.2514,77.9838,66.4,42,0,19.3,clear sky
243,Esperance,AU,-33.8667,121.9,60.64,78,100,14.63,light rain
244,Saint-Augustin,CA,51.226,-58.6502,39.49,97,100,14.34,overcast clouds
245,Vostok,RU,46.4856,135.8833,49.91,73,0,4.18,clear sky
246,Yar-Sale,RU,66.8333,70.8333,60.62,59,100,15.97,overcast clouds
247,Half Moon Bay,US,37.4636,-122.4286,74.62,77,20,9.22,few clouds
248,Brae,GB,60.3964,-1.353,48.11,75,100,13.2,overcast clouds
249,Novokizhinginsk,RU,51.6115,109.5917,35.44,75,100,5.46,overcast clouds
250,Donskoye,RU,45.4552,41.9741,70.02,94,100,2.37,light rain
251,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.53,54,0,4.47,clear sky
252,Oranjemund,NA,-28.55,16.4333,67.69,34,9,7.96,clear sky
253,Sisimiut,GL,66.9395,-53.6735,30.22,59,100,17.18,overcast clouds
254,Kilrush,IE,52.6397,-9.4833,51.89,73,100,11.7,overcast clouds
255,Becerril,CO,9.7041,-73.2793,96.33,44,100,5.73,overcast clouds
256,Isiro,CD,2.7739,27.616,67.21,99,97,4.23,light rain
257,Manhattan,US,40.7834,-73.9662,91.53,33,1,3.44,clear sky
258,Yulara,AU,-25.2406,130.9889,57.04,44,32,5.75,scattered clouds
259,Qandala,SO,11.472,49.8728,85.6,72,81,2.95,broken clouds
260,Hami,CN,42.8,93.45,57.81,18,0,11.3,clear sky
261,Cefalu,IT,38.0386,14.0229,74.41,48,8,1.99,clear sky
262,Bandiagara,ML,14.3501,-3.6104,84.63,25,78,9.51,broken clouds
263,Kahului,US,20.8947,-156.47,78.06,72,20,13.8,few clouds
264,Kidal,ML,18.4411,1.4078,100.47,17,49,4.72,scattered clouds
265,Byron Bay,AU,-28.65,153.6167,62.55,85,70,7.78,broken clouds
266,Batagay-Alyta,RU,67.8006,130.4114,26.13,76,83,2.57,broken clouds
267,Cumberland,US,35.0502,-78.8664,89.6,31,1,4.61,clear sky
