City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
477,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
481,Timmins,CA,76.82,broken clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
483,Lorengau,PG,81.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
493,Fethiye,TR,76.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
498,Srandakan,ID,76.44,overcast clouds,-7.9386,110.2506,Puri Brata
499,Wanning,CN,81.0,broken clouds,18.8003,110.3967,Paradise Hotel
500,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
501,Umm Lajj,SA,82.92,clear sky,25.0213,37.2685,Moon light Furnished Units
508,Autazes,BR,83.84,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
509,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
510,Bluefield,US,82.06,scattered clouds,37.2698,-81.2223,Economy Inn
511,Wewak,PG,79.34,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
517,Bam,IR,83.8,scattered clouds,29.106,58.357,Bam Tourist Hotel
518,Iracoubo,GF,80.02,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
519,Kalmunai,LK,81.75,overcast clouds,7.4167,81.8167,VS Villa
522,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
557,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
563,Buckeye,US,83.14,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
567,Hobe Sound,US,84.18,scattered clouds,27.0595,-80.1364,Floridays RV Park
572,Maracena,ES,75.85,overcast clouds,37.2076,-3.6349,B&B Hotel Granada
578,Alenquer,BR,84.54,overcast clouds,-1.9417,-54.7383,Josilene Castro
579,Saint Anthony,US,84.34,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
585,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
588,Gujranwala,PK,82.45,overcast clouds,32.1617,74.1883,Lepari Hotel & Banquet Hall
594,Kavieng,PG,81.45,moderate rain,-2.5744,150.7967,Nusa Island Retreat
595,Teknaf,BD,81.59,light rain,20.8624,92.3058,Forestry Guesthouse
596,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
597,Shekhupura,PK,80.65,overcast clouds,31.7131,73.9783,Best Holidays Inn Hotel Skeikhupura
601,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
603,Elk River,US,84.52,broken clouds,45.3038,-93.5672,Holiday Inn Minneapolis NW-Elk River
608,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
609,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
611,Meulaboh,ID,77.59,overcast clouds,4.1363,96.1285,Kost Pria
612,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
625,Cabinda,AO,82.54,few clouds,-5.55,12.2,Hotel Maiombe
628,Pontianak,ID,76.98,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
633,Porto De Moz,BR,83.75,broken clouds,-1.7483,-52.2383,Dormitório labelle
635,Zhanakorgan,KZ,76.5,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
640,Kathu,TH,82.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
641,Port Lavaca,US,83.3,broken clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
646,Poso,ID,78.35,light rain,-1.3959,120.7524,Hotel 77 Poso
647,Teluk Nibung,ID,77.61,scattered clouds,3.001,99.8164,Hotel Assyifa
648,Tres Lagoas,BR,78.55,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
653,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
654,Jibuti,DJ,81.82,clear sky,11.5,42.5,Orchid Main Camp Goubet
665,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
667,Roma,US,82.26,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
668,Manggar,ID,79.86,moderate rain,-2.8833,108.2667,Guest Hotel
679,Sola,VU,75.87,few clouds,-13.8833,167.55,Leumerus Bungalows
681,Hirara,JP,81.25,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
687,Pemangkat,ID,80.69,moderate rain,1.1667,108.9667,Ramah Kost KITA
702,Woodward,US,79.83,scattered clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
717,Sao Jose Da Coroa Grande,BR,79.99,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
