City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Tezu,IN,2021-05-21 14:22:30,27.9167,96.1667,73.35,98,100,3.22
137,Kitimat,CA,2021-05-21 14:22:30,54.0524,-128.6534,44.98,94,53,1.1
138,Acari,PE,2021-05-21 14:22:31,-15.4311,-74.6158,70.39,64,60,5.82
139,Rochegda,RU,2021-05-21 14:22:31,62.8,43.25,71.28,46,100,9.62
140,Aklavik,CA,2021-05-21 14:22:31,68.2191,-135.0107,48.92,45,40,6.91
141,Sitka,US,2021-05-21 14:22:32,57.0531,-135.33,46.29,87,90,3.44
142,Dumfries,US,2021-05-21 14:20:22,38.5676,-77.328,76.17,43,30,3.33
143,Potosi,BO,2021-05-21 14:22:32,-19.5836,-65.7531,45.21,14,0,17.38
144,Tornio,FI,2021-05-21 14:22:33,65.8481,24.1466,39.22,91,100,20.62
145,Chippewa Falls,US,2021-05-21 14:17:51,44.9369,-91.3929,69.98,97,75,11.16
146,Zyryanka,RU,2021-05-21 14:22:33,65.75,150.85,36.12,71,85,7.16
147,Katsuura,JP,2021-05-21 14:22:34,35.1333,140.3,73.11,89,100,24.58
148,Tiznit,MA,2021-05-21 14:18:07,29.5833,-9.5,97.23,16,47,8.52
149,Acapulco,MX,2021-05-21 14:22:34,16.8634,-99.8901,76.82,54,1,2.95
150,Lerwick,GB,2021-05-21 14:22:35,60.1545,-1.1494,46.4,61,100,18.97
151,Port Lincoln,AU,2021-05-21 14:22:35,-34.7333,135.8667,60.87,55,6,5.44
152,Mbandaka,CD,2021-05-21 14:22:35,0.0487,18.2603,87.67,54,71,1.99
153,Wynyard,AU,2021-05-21 14:22:36,-41.0,145.7167,48.97,92,28,3.51
154,Korla,CN,2021-05-21 14:22:36,41.7597,86.1469,61.99,56,8,11.99
155,Hasaki,JP,2021-05-21 14:22:37,35.7333,140.8333,72.0,81,100,29.04
156,Esperance,AU,2021-05-21 14:22:37,-33.8667,121.9,63.32,76,75,5.48
157,Husavik,IS,2021-05-21 14:22:37,66.0449,-17.3389,40.91,69,66,9.04
158,Biu,NG,2021-05-21 14:22:38,10.6129,12.1946,88.63,41,100,8.05
159,Arraial Do Cabo,BR,2021-05-21 14:22:38,-22.9661,-42.0278,80.56,69,20,5.75
160,Leningradskiy,RU,2021-05-21 14:22:38,69.3833,178.4167,22.37,96,19,2.66
161,Hofn,IS,2021-05-21 14:22:39,64.2539,-15.2082,39.22,52,40,6.91
162,Caravelas,BR,2021-05-21 14:22:39,-17.7125,-39.2481,82.18,57,6,8.55
163,Makakilo City,US,2021-05-21 14:22:40,21.3469,-158.0858,71.92,72,40,14.14
164,Narsaq,GL,2021-05-21 14:22:40,60.9167,-46.05,41.22,100,100,3.71
165,Grand Gaube,MU,2021-05-21 14:22:40,-20.0064,57.6608,72.37,70,43,5.01
166,Ambilobe,MG,2021-05-21 14:22:41,-13.2,49.05,76.84,68,21,1.59
167,Kaitangata,NZ,2021-05-21 14:22:41,-46.2817,169.8464,42.93,91,44,5.68
168,Imbituba,BR,2021-05-21 14:22:41,-28.24,-48.6703,66.09,74,62,6.26
169,Tual,ID,2021-05-21 14:22:42,-5.6667,132.75,82.63,80,74,20.0
170,Alta Floresta,BR,2021-05-21 14:22:42,-9.8756,-56.0861,91.22,58,20,5.75
171,Colesberg,ZA,2021-05-21 14:22:43,-30.72,25.0972,54.21,35,61,14.65
172,Angoche,MZ,2021-05-21 14:22:43,-16.2325,39.9086,78.78,65,53,7.25
173,Malindi,KE,2021-05-21 14:22:43,-3.2175,40.1191,84.36,70,40,13.8
174,Port Elizabeth,ZA,2021-05-21 14:22:44,-33.918,25.5701,60.1,58,40,28.77
175,Del Rio,US,2021-05-21 14:22:44,29.3627,-100.8968,73.51,83,90,11.5
176,Vostok,RU,2021-05-21 14:22:44,46.4856,135.8833,54.19,91,98,3.76
177,Lompoc,US,2021-05-21 14:22:45,34.6391,-120.4579,54.09,70,90,10.36
178,Kang,BW,2021-05-21 14:22:45,-23.6752,22.7876,71.98,25,5,10.74
179,Mbala,ZM,2021-05-21 14:22:45,-8.8402,31.3659,72.05,48,65,3.18
180,Mangai,CD,2021-05-21 14:22:46,-4.05,19.5333,93.63,34,43,3.58
181,Nishihara,JP,2021-05-21 14:22:46,26.1842,127.7558,81.68,90,75,4.09
182,Pacific Grove,US,2021-05-21 14:22:47,36.6177,-121.9166,52.43,87,90,1.01
183,Naze,JP,2021-05-21 14:22:47,28.3667,129.4833,68.58,84,100,5.66
184,Vila Velha,BR,2021-05-21 14:21:29,-20.3297,-40.2925,80.96,73,0,4.0
185,San Angelo,US,2021-05-21 14:18:32,31.4638,-100.437,75.29,73,1,1.99
186,Rochester,US,2021-05-21 14:21:02,43.1548,-77.6156,82.15,44,20,9.22
187,Novo Aripuana,BR,2021-05-21 14:22:48,-5.1206,-60.3797,83.73,76,55,2.28
188,Talnakh,RU,2021-05-21 14:22:48,69.4865,88.3972,29.61,96,100,9.15
189,Pangai,TO,2021-05-21 14:22:49,-19.8,-174.35,79.11,87,100,18.07
190,Poum,NC,2021-05-21 14:22:49,-20.2333,164.0167,74.44,63,0,20.31
191,Airai,TL,2021-05-21 14:22:50,-8.9266,125.4092,58.75,93,100,3.0
192,Sao Joao Batista,BR,2021-05-21 14:22:50,-27.2761,-48.8494,74.77,67,49,2.17
193,Castro,BR,2021-05-21 14:22:50,-24.7911,-50.0119,69.21,54,75,5.3
194,Saint George,US,2021-05-21 14:20:18,37.1041,-113.5841,62.38,23,1,8.01
195,Belmonte,BR,2021-05-21 14:22:51,-15.8631,-38.8828,82.9,61,13,7.7
196,Hakkari,TR,2021-05-21 14:22:51,37.5833,44.1667,77.23,19,1,1.59
197,Whitehorse,CA,2021-05-21 14:22:52,60.7161,-135.0538,43.57,52,75,15.99
198,Camacha,PT,2021-05-21 14:22:52,33.0833,-16.3333,70.56,64,20,17.27
199,Pitimbu,BR,2021-05-21 14:22:52,-7.4706,-34.8086,84.79,68,65,12.68
200,Upington,ZA,2021-05-21 14:22:53,-28.4478,21.2561,62.98,36,20,3.44
201,Kenai,US,2021-05-21 14:22:53,60.5544,-151.2583,46.49,70,90,6.91
202,Tabou,CI,2021-05-21 14:22:54,4.423,-7.3528,84.61,65,30,9.31
203,Xining,CN,2021-05-21 14:22:54,36.6167,101.7667,61.11,46,88,2.3
204,Tokur,RU,2021-05-21 14:22:55,53.1333,132.9,41.94,92,97,2.08
205,Ilulissat,GL,2021-05-21 14:22:55,69.2167,-51.1,33.82,69,40,14.97
206,Torbay,CA,2021-05-21 14:22:56,47.6666,-52.7314,66.88,57,40,21.85
207,Vestmanna,FO,2021-05-21 14:22:56,62.1564,-7.1664,40.12,77,75,15.48
208,Fort Nelson,CA,2021-05-21 14:22:56,58.8053,-122.7002,44.19,76,20,6.91
209,Sao Joao Da Barra,BR,2021-05-21 14:22:57,-21.6403,-41.0511,80.69,70,66,5.03
210,Abu Samrah,SY,2021-05-21 14:22:57,35.3029,37.1841,94.26,15,0,18.5
211,Karaton,ID,2021-05-21 14:22:58,-6.3424,106.1045,79.95,91,5,0.69
212,Skowhegan,US,2021-05-21 14:22:58,44.7651,-69.7192,67.03,69,79,5.55
213,Rafaela,AR,2021-05-21 14:22:58,-31.2503,-61.4867,55.99,98,100,3.38
214,Mount Gambier,AU,2021-05-21 14:22:59,-37.8333,140.7667,49.39,67,0,6.58
215,Fortuna,US,2021-05-21 14:22:59,40.5982,-124.1573,48.18,61,1,1.99
216,Namibe,AO,2021-05-21 14:23:00,-15.1961,12.1522,77.63,69,0,14.97
217,Floro,NO,2021-05-21 14:23:00,61.5996,5.0328,57.27,54,40,14.97
218,Valparaiso,CL,2021-05-21 14:21:54,-33.0393,-71.6273,56.84,76,0,3.44
219,Kampot,KH,2021-05-21 14:23:00,10.6167,104.1833,84.25,80,100,9.13
220,Rio Grande,BR,2021-05-21 14:23:01,-32.035,-52.0986,60.94,70,98,12.59
221,Kodinsk,RU,2021-05-21 14:23:01,58.6881,99.1844,41.23,60,100,3.47
222,Cabo San Lucas,MX,2021-05-21 14:23:02,22.8909,-109.9124,81.81,68,93,7.43
223,Sabha,LY,2021-05-21 14:18:05,27.0377,14.4283,102.69,7,0,4.61
224,Atbasar,KZ,2021-05-21 14:23:02,51.8,68.3333,75.25,33,14,8.3
225,Sisimiut,GL,2021-05-21 14:23:03,66.9395,-53.6735,36.14,70,99,16.62
226,Mayumba,GA,2021-05-21 14:23:03,-3.432,10.6554,80.89,79,96,10.25
227,Porto Novo,BJ,2021-05-21 14:23:03,6.4965,2.6036,87.62,56,77,12.08
